GENUS,SPECIES,MORPHOLOGY,MORPHOLOGY_CODE,METHOD,EXTENSION_CM_YR_RANGE,EXTENSION_CM_YR_MEAN,EXTENSION_CM_YR_SE,EXTENSION_STUDY_N,DENSITY_G_CM3_RANGE,DENSITY_G_CM3_MEDIAN/MEAN,DENSITY_G_CM3_SE,DENSITY_STUDY_N,REEF_ZONE,DEPTH_M,STUDY_REGION,STUDY_SITE,REGION_OCEAN,YEAR,REFERENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,cytherea,table ,TB,external growth bands; expansion,5.1-13.0,9.320,3.18,,,,,21,lagoon,,Pacific Remote Islands,Johnston Atoll,Central Pacific,1992,"Jokiel, P., & Tyler, W. (1992). Distribution of stony corals in Johnston Atoll lagoon. Proceedings of the 7th International Coral Reef Symposium, 2, 638–692.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,cytherea,table ,TB ,external growth bands; expansion,6.0-12.0,9.100,,,,,,,,,Tahiti,Tahiti,South Pacific,1958,"Ma TYH (1958) The relation of growth rate of reef corals to surface temperature of sea water as a basis for study of causes of disastrophisms instigating evolution of life. World Book Co, LTD, Taipei, Taiwan. IN Jokiel and Tyler (1992)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,hyacinthus,table ,TB,diameter,,4.965,0.26,,,,,41,lagoon,2-3,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1985,"Stimson, J. (1985). The Effect of Shading by the Table Coral Acropora Hyacinthus on Understory Corals. Ecology, 66(1), 40–53. https://doi.org/10.2307/1941305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,glauca,table ,TB,buoyant weight; parafin wax,,,,,,1.460,0.096,3,rocky reef,10,Australia,"Solitary Islands, NSW",Great Barrier Reef,1998,"Bucher, D. J., Harriott, V. J., & Roberts, L. G. (1998). Skeletal micro-density, porosity and bulk density of acroporid corals. Journal of Experimental Marine Biology and Ecology, 228(1), 117–136. https://doi.org/10.1016/S0022-0981(98)00020-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,solitaryensis,table ,TB,buoyant weight; parafin wax,,,,,,1.450,0.096,6,rocky reef,10,Australia,"Solitary Islands, NSW",Great Barrier Reef,1998,"Bucher, D. J., Harriott, V. J., & Roberts, L. G. (1998). Skeletal micro-density, porosity and bulk density of acroporid corals. Journal of Experimental Marine Biology and Ecology, 228(1), 117–136. https://doi.org/10.1016/S0022-0981(98)00020-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,spp,table ,TB,diameter,,7.600,,,,,,,,,Samoa,Samoa,South Pacific,1924,"Mayor, A. (1924). Growth Rate of Samoan Corals. Carnegie Institute of Washington Publications, 340, 51–72.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,muricata,arborescent,BRFA,Alizarin Red stain,1.5-14.2,6.260,0.4,35,0.52-1.47,1.030,0.03,35,patch reef,1-3,Australia,"Middle Reef, Cleveland bay",Great Barrier Reef,2012,"Browne, N. K. (2012). Spatial and temporal variations in coral growth on an inshore turbid reef subjected to multiple disturbances. Marine Environmental Research, 77, 71–83. https://doi.org/10.1016/j.marenvres.2012.02.005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,muricata,arborescent,BRFA,buoyant weight; parafin wax,,,,,,1.090,0.06,5,leeward lagoon,5-10,Australia,One Tree Island,Great Barrier Reef,1998,"Bucher, D. J., Harriott, V. J., & Roberts, L. G. (1998). Skeletal micro-density, porosity and bulk density of acroporid corals. Journal of Experimental Marine Biology and Ecology, 228(1), 117–136. https://doi.org/10.1016/S0022-0981(98)00020-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,muricata,arborescent,BRFA,Alizarin Red stain,8-16.6,12.400,,,,,,,fringing reef,3,Australia,"Davies Reef, Great Barrier Reef",Great Barrier Reef,1983,"Oliver, J. K., Chalker, B. E., & Dunlap, W. C. (1983). Bathymetric adaptations of reef-building corals at davies reef, great barrier reef, Australia. I. Long-term growth responses of Acropora formosa (Dana 1846). Journal of Experimental Marine Biology and Ecology, 73(1), 11–35. https://doi.org/10.1016/0022-0981(83)90003-5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,muricata,arborescent,BRFA,external growth bands; expansion,3.96-6.24,5.280,0.237,9,,,,,fringing reef,,Australia,"Nelly Bay, Magnetic Island",Great Barrier Reef,1984,"Oliver, J. K. (1984) Intra-colony variation in the growth of Acropora formosa: Extension rates and skeletal structure of white (zooxanthellae-free) and brown-tipped branches. Coral Reefs 3:139-147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,muricata,arborescent,BRFA,Alizarin Red stain,,3.297,,9,,,,,reef flat,1-3,Guam,Western Pacific,Western Pacific,1981,"Neudecker, S. (1981). Growth and survival of scleractinian corals exposed to thermal effluents at Guam. 4. International Coral Reef Symposium, Manila (Philippines), 18-22 May 1981. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,muricata,arborescent,BRFA,linear extension,,5.080,0.27,18,,,,,,,Fiji,Namena,Central Pacific,2019,"Savage, C. (2019). Seabird nutrients are assimilated by corals and enhance coral growth rates. Scientific reports, 9(1), 1-10.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,muricata,arborescent,BRFA,linear extension,,15.290,0.35,18,,,,,,,Fiji,Namena,Central Pacific,2019,"Savage, C. (2019). Seabird nutrients are assimilated by corals and enhance coral growth rates. Scientific reports, 9(1), 1-10.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,muricata,arborescent,BRFA,Alizarin Red stain,,7.200,0.48,74,,0.938,0.05,71,,5,Australia,"Davies Reef, Great Barrier Reef",Great Barrier Reef,2018,"Anderson, K. D., Cantin, N. E., Heron, S. F., Lough, J. M., & Pratchett, M. S. (2018). Temporal and taxonomic contrasts in coral growth at Davies Reef, central Great Barrier Reef, Australia. Coral Reefs, 37(2), 409-421.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,muricata,arborescent,BRFA,Alizarin Red stain,,5.400,0.36,61,,0.915,0.058,49,,10,Australia,"Davies Reef, Great Barrier Reef",Great Barrier Reef,2018,"Anderson, K. D., Cantin, N. E., Heron, S. F., Lough, J. M., & Pratchett, M. S. (2018). Temporal and taxonomic contrasts in coral growth at Davies Reef, central Great Barrier Reef, Australia. Coral Reefs, 37(2), 409-421.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,muricata,arborescent,BRFA,Alizarin Red stain,,5.760,0.48,79,,0.903,0.066,59,,15,Australia,"Davies Reef, Great Barrier Reef",Great Barrier Reef,2018,"Anderson, K. D., Cantin, N. E., Heron, S. F., Lough, J. M., & Pratchett, M. S. (2018). Temporal and taxonomic contrasts in coral growth at Davies Reef, central Great Barrier Reef, Australia. Coral Reefs, 37(2), 409-421.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,muricata,arborescent,BRFA,Alizarin Red stain,,9.365,0.29,,,0.880,0.02,,,,Australia,Lizard Island,Great Barrier Reef,2017,"Anderson, K. D., Cantin, N. E., Heron, S. F., Pisapia, C., & Pratchett, M. S. (2017). Variation in growth rates of branching corals along Australia’s Great Barrier Reef. Scientific reports, 7(1), 1-13.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,muricata,arborescent,BRFA,Alizarin Red stain,,7.635,0.24,,,0.920,0.05,,,,Australia,"Davies Reef, Great Barrier Reef",Great Barrier Reef,2017,"Anderson, K. D., Cantin, N. E., Heron, S. F., Pisapia, C., & Pratchett, M. S. (2017). Variation in growth rates of branching corals along Australia’s Great Barrier Reef. Scientific reports, 7(1), 1-13.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,muricata,arborescent,BRFA,Alizarin Red stain,,4.975,0.21,,,0.850,0.04,,,,Australia,Heron Island,Great Barrier Reef,2017,"Anderson, K. D., Cantin, N. E., Heron, S. F., Pisapia, C., & Pratchett, M. S. (2017). Variation in growth rates of branching corals along Australia’s Great Barrier Reef. Scientific reports, 7(1), 1-13.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
