SUBSTRATE_CLASS,CORAL_GROUP_NAME,CORAL_GROUP,SUBSTRATE_NAME,SUBSTRATE_CODE,MORPHOLOGY,MORPHOLOGYCODE,TAXA_LEVEL,EXTENSION_CM_YR,EXTENSION_CM_YR_CI,DENSITY_G_CM3,DENSITY_G_CM3_CI,CONVERSION_FACTOR
CORAL,Branching Acropora,ACBR,Acropora abrotanoides,AABR,Branching - Fast Growth,BRFA,SPECIES,8.638,2.11,1.015,0.179,0.059
CORAL,Other encrusting corals,ENC,Acanthastrea sp,ACAS,Encrusting Mounding,EM,GENUS,1.66,0.784,1.183,0.269,
CORAL,Other massive corals,MASS,Acanthastrea sp,ACAS,Mounding,MD,GENUS,1.66,0.784,1.183,0.269,
CORAL,Branching Acropora,ACBR,Acropora sp,ACSP,Branching - Fast Growth,BRFA,GENUS,8.638,2.11,1.015,0.179,0.059
CORAL,Branching Acropora,ACBR,Acropora intermedia,AINT,Branching - Fast Growth,BRFA,SPECIES,8.638,2.11,1.015,0.179,0.059
CORAL,Table Acropora,ACTA,Acropora sp,ACSP,Table,TB,GENUS,7.746,1.956,1.455,0.01,
CORAL,Other massive corals,MASS,Astrea curta,ACUR,Mounding,MD,SPECIES,0.26,0.02,1.2,0.089,
CORAL,Table Acropora,ACTA,Acropora cytherea,ACYT,Table,TB,SPECIES,9.21,0.216,1.455,0.01,
CORAL,Branching Acropora,ACBR,Acropora retusa,ARET,Branching - Slow Growth,BRSL,SPECIES,2.232,0.691,1.475,0.402,0.253
CORAL,Branching Acropora,ACBR,Acropora sp,ACSP,Branching - Slow Growth,BRSL,GENUS,2.232,0.691,1.475,0.402,0.253
CORAL,Branching Acropora,ACBR,Acropora gemmifera,AGEM,Branching - Slow Growth,BRSL,SPECIES,2.232,0.691,1.475,0.402,0.253
CORAL,Table Acropora,ACTA,Acropora hyacinthus,AHYA,Table,TB,SPECIES,4.965,0.691,1.455,0.402,
CORAL,Branching Acropora,ACBR,Acropora globiceps,AGLO,Branching - Slow Growth,BRSL,SPECIES,2.232,0.691,1.475,0.402,0.253
CORAL,Massive Astreopora,ASMA,Astreopora listeri,ALIS,Encrusting Mounding,EM,SPECIES,0.858,0,1.155,0.637,
