"","REGION","REGIONCODE","CRUISE_ID","LOCATION","LOCATIONCODE","OCC_SITEID","OCC_SITENAME","LATITUDE","LONGITUDE","CB_METHOD","FISH_BIOMASS_KG_HA_ALL_L95","FISH_BIOMASS_KG_HA_ALL_MEAN","FISH_BIOMASS_KG_HA_ALL_SD","FISH_BIOMASS_KG_HA_ALL_SE","FISH_BIOMASS_KG_HA_ALL_U95","FISH_BIOMASS_KG_HA_EXCAVATOR_L95","FISH_BIOMASS_KG_HA_EXCAVATOR_MEAN","FISH_BIOMASS_KG_HA_EXCAVATOR_SD","FISH_BIOMASS_KG_HA_EXCAVATOR_SE","FISH_BIOMASS_KG_HA_EXCAVATOR_U95","FISH_BIOMASS_KG_HA_OTHER_L95","FISH_BIOMASS_KG_HA_OTHER_MEAN","FISH_BIOMASS_KG_HA_OTHER_SD","FISH_BIOMASS_KG_HA_OTHER_SE","FISH_BIOMASS_KG_HA_OTHER_U95","FISH_BIOMASS_KG_HA_SCRAPER_L95","FISH_BIOMASS_KG_HA_SCRAPER_MEAN","FISH_BIOMASS_KG_HA_SCRAPER_SD","FISH_BIOMASS_KG_HA_SCRAPER_SE","FISH_BIOMASS_KG_HA_SCRAPER_U95","FISH_DENSITY_ABUNDANCE_HA_ALL_L95","FISH_DENSITY_ABUNDANCE_HA_ALL_MEAN","FISH_DENSITY_ABUNDANCE_HA_ALL_SD","FISH_DENSITY_ABUNDANCE_HA_ALL_SE","FISH_DENSITY_ABUNDANCE_HA_ALL_U95","FISH_DENSITY_ABUNDANCE_HA_EXCAVATOR_L95","FISH_DENSITY_ABUNDANCE_HA_EXCAVATOR_MEAN","FISH_DENSITY_ABUNDANCE_HA_EXCAVATOR_SD","FISH_DENSITY_ABUNDANCE_HA_EXCAVATOR_SE","FISH_DENSITY_ABUNDANCE_HA_EXCAVATOR_U95","FISH_DENSITY_ABUNDANCE_HA_OTHER_L95","FISH_DENSITY_ABUNDANCE_HA_OTHER_MEAN","FISH_DENSITY_ABUNDANCE_HA_OTHER_SD","FISH_DENSITY_ABUNDANCE_HA_OTHER_SE","FISH_DENSITY_ABUNDANCE_HA_OTHER_U95","FISH_DENSITY_ABUNDANCE_HA_SCRAPER_L95","FISH_DENSITY_ABUNDANCE_HA_SCRAPER_MEAN","FISH_DENSITY_ABUNDANCE_HA_SCRAPER_SD","FISH_DENSITY_ABUNDANCE_HA_SCRAPER_SE","FISH_DENSITY_ABUNDANCE_HA_SCRAPER_U95","FISH_EROSION_KG_M2_YR_ALL_L95","FISH_EROSION_KG_M2_YR_ALL_MEAN","FISH_EROSION_KG_M2_YR_ALL_SD","FISH_EROSION_KG_M2_YR_ALL_SE","FISH_EROSION_KG_M2_YR_ALL_U95","FISH_EROSION_KG_M2_YR_EXCAVATOR_L95","FISH_EROSION_KG_M2_YR_EXCAVATOR_MEAN","FISH_EROSION_KG_M2_YR_EXCAVATOR_SD","FISH_EROSION_KG_M2_YR_EXCAVATOR_SE","FISH_EROSION_KG_M2_YR_EXCAVATOR_U95","FISH_EROSION_KG_M2_YR_OTHER_L95","FISH_EROSION_KG_M2_YR_OTHER_MEAN","FISH_EROSION_KG_M2_YR_OTHER_SD","FISH_EROSION_KG_M2_YR_OTHER_SE","FISH_EROSION_KG_M2_YR_OTHER_U95","FISH_EROSION_KG_M2_YR_SCRAPER_L95","FISH_EROSION_KG_M2_YR_SCRAPER_MEAN","FISH_EROSION_KG_M2_YR_SCRAPER_SD","FISH_EROSION_KG_M2_YR_SCRAPER_SE","FISH_EROSION_KG_M2_YR_SCRAPER_U95"
"1","Main Hawaiian Islands","MHI","MP2108","Oahu","OAH","OCC-OAH-002","Mokuleia","21.591","-158.175","IPRB",0,2.21403681388004,7.00139915532321,2.21403681388004,6.5756893372237,0,0,0,0,0,0,2.21403681388004,7.00139915532321,2.21403681388004,6.5756893372237,0,0,0,0,0,0,13.3333333333333,42.1637021355784,13.3333333333333,39.6,0,0,0,0,0,0,13.3333333333333,42.1637021355784,13.3333333333333,39.6,0,0,0,0,0,0,0.000494968263601281,0.00156522708247866,0.000494968263601281,0.0014700557428958,0,0,0,0,0,0,0.000494968263601281,0.00156522708247866,0.000494968263601281,0.0014700557428958,0,0,0,0,0
"2","Main Hawaiian Islands","MHI","MP2108","Oahu","OAH","OCC-OAH-005","Kaneohe Bay","21.48","-157.783","IPRB",13.9072812074841,43.7804126677834,47.952861043745,15.1640261219793,73.6535441280827,0,0,0,0,0,6.10692227191151,12.04437636813,9.53090276484617,3.01393608945101,17.9818304643485,3.66693041432683,31.7360362996534,45.0570083665325,14.2482770991505,59.8051421849799,687.605079336816,980,469.357322619235,148.423817595525,1272.39492066318,0,0,0,0,0,395.644444444445,693.333333333333,477.855290869888,151.111111111111,991.022222222222,119.334736615003,286.666666666667,268.604073215855,84.9400660160728,453.99859671833,0.009326090123751,0.031269324934726,0.035223655449023,0.0111386978735914,0.0532125597457009,0,0,0,0,0,0.000357758610618884,0.00186363555630609,0.00241725940320266,0.000764404540957971,0.00336951250199329,0.00774593381289325,0.0294056893784199,0.0347686097205952,0.0109947997794551,0.0510654449439465
"3","Main Hawaiian Islands","MHI","MP2108","Oahu","OAH","OCC-OAH-010","Kewalo","21.288","-157.865","IPRB",0,20.2542250724807,53.7259767124351,16.989645592846,53.7238268903874,0,0,0,0,0,0,0.984451888443508,2.1017890090533,0.66464404297167,2.2938006530977,0,19.2697731840372,54.0187858507891,17.082239972537,52.9217859299351,37.4026665530774,180,228.899676121211,72.3844332217881,322.597333446923,0,0,0,0,0,0,100,167.036626426366,52.8216192177987,204.058589859063,0,80,168.654808542314,53.3333333333333,185.066666666667,0,0.00279055997276245,0.00841856439966068,0.00266218381317358,0.0080350620847144,0,0,0,0,0,0,0.000109212378637941,0.00034535986518061,0.000109212378637941,0.000324360764554683,0,0.00268134759412451,0.00845007103853768,0.00267214708720035,0.0079454773559092
"4","Main Hawaiian Islands","MHI","MP2108","Oahu","OAH","OCC-OAH-012","Makua","21.534","-158.234","IPRB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Main Hawaiian Islands","MHI","MP2108","Oahu","OAH","OCC-OAH-038","Reef Runway","21.298","-157.933","IPRB",17.8137784622893,71.3780492875107,85.9822827481251,27.1899851904677,124.942320112732,0,0,0,0,0,0,5.32962109958244,11.1240869294373,3.51774515867308,12.2595790621684,13.0567510927899,66.0484281879283,85.0631455090419,26.8993284746895,119.040105283067,112.074220124085,209.52380952381,156.427745965142,49.4667966496062,306.973398923534,0,0,0,0,0,0,46.6666666666667,83.4443704689715,26.3874268600843,98.6498975810327,73.5129077285233,162.857142857143,143.416892798002,45.3524036185886,252.201377985762,0.0144781529939671,0.0446722891660954,0.0484681432919814,0.0153269726762073,0.0748664253382237,0,0,0,0,0,0,0.00120836128447844,0.00259895167931241,0.000821860683534672,0.00282742683104175,0.0133993524253244,0.043463927881617,0.0482601702171983,0.015261205815377,0.0735285033379096
"6","Main Hawaiian Islands","MHI","MP2108","Oahu","OAH","OCC-OAH-039","Ewa","21.293","-158.006","IPRB",0,1.05598543159464,2.69264521464084,0.851489180901802,2.73341911797119,0,0,0,0,0,0,1.05598543159464,2.69264521464084,0.851489180901802,2.73341911797119,0,0,0,0,0,0,46.6666666666667,77.3001205818937,24.4444444444444,94.8222222222222,0,0,0,0,0,0,46.6666666666667,77.3001205818937,24.4444444444444,94.8222222222222,0,0,0,0,0,0,0.000218424757275881,0.00069071973036122,0.000218424757275881,0.000648721529109367,0,0,0,0,0,0,0.000218424757275881,0.00069071973036122,0.000218424757275881,0.000648721529109367,0,0,0,0,0
"7","Main Hawaiian Islands","MHI","MP2108","Oahu","OAH","OCC-OAH-040","Barbers Point","21.29","-158.067","IPRB",8.78142816415958,20.7245628895904,19.1713239261985,6.06250493676689,32.6676976150211,0,0,0,0,0,3.41431386968223,12.1353788540264,13.9992025242985,4.42693654027621,20.8564438383705,2.68269569892107,8.589184035564,9.48119599848275,2.99821742976798,14.4956723722069,120.075364201283,220,160.400732734387,50.7231653800592,319.924635798717,0,0,0,0,0,47.2835997033032,106.666666666667,95.3227137312321,30.1436888138901,166.04973363003,45.3719463297061,113.333333333333,109.092779632298,34.4981659916889,181.294720336961,0.00110340602453418,0.00320902306787323,0.00337997245534055,0.00106884113875079,0.00531464011121229,0,0,0,0,0,0.000859379373608075,0.00290466571309707,0.00328312857868711,0.00103821641598426,0.00494995205258607,0.000106387638228562,0.000304357354776164,0.000317784371587993,0.000100492241902336,0.000502327071323765
"8","Main Hawaiian Islands","MARIAN","MP2108","Oahu","OAH","OCC-OAH-010","Kewalo","21.28832","-157.86533","Fixed SPC",0,26.5272496600125,33.6042328911351,23.7617809538936,73.3379581391829,0,0,0,0,0,0,2.72200657269614,3.84949861197559,2.72200657269614,8.08435952090753,0,22.3524510385619,28.7274551698313,20.3133783568203,62.3698064014978,30.8406911946962,198.059484736581,120.042175487614,84.8826363156775,365.278278278466,0,0,0,0,0,0,28.2942121052258,40.0140584958714,28.2942121052258,84.0338099525207,56.5884242104517,56.5884242104517,0,0,56.5884242104517,0,0.000509462689880686,0.000695623954661382,0.000491880415496866,0.00147846710840951,0,0,0,0,0,0,0.000463511730854719,0.000655504576093771,0.000463511730854719,0.00137662984063852,0,0.0000459509590259669,0.0000401193785676103,0.0000283686846421475,0.000101837267770997
"9","Main Hawaiian Islands","MARIAN","MP2108","Oahu","OAH","OCC-OAH-038","ReefRunway","21.29814","-157.93333","Fixed SPC",33.2882568270215,46.5292713234941,9.50539202055343,6.72132715556983,59.7702858199666,0,0,0,0,0,0,5.50865632513417,7.79041648545707,5.50865632513417,16.3607092856485,17.1701611505824,40.7704978754636,16.9420894786289,11.9798663578077,64.3708346003448,226.353696841807,226.353696841807,0,0,226.353696841807,0,0,0,0,0,0,56.5884242104517,80.0281169917428,56.5884242104517,168.067619905041,85.7314626788343,141.471060526129,40.0140584958714,28.2942121052258,197.210658373424,0.010668829174131,0.023948452003482,0.00953310797384141,0.00674092529408681,0.037228074832833,0,0,0,0,0,0,0.000927023461709438,0.00131100915218754,0.000927023461709438,0.00275325968127703,0.00791556949285395,0.0230214285417726,0.0108441171260289,0.00766794875579624,0.0381272875906912
"10","Main Hawaiian Islands","MARIAN","MP2108","Oahu","OAH","OCC-OAH-005","Kaneohe","21.4797","-157.78294","Fixed SPC",22.3953031017558,44.0134367383472,15.5191156254119,10.9736718967469,65.6315703749385,0,0,0,0,0,0,7.09005317208563,10.0268493539099,7.09005317208563,21.0574579210943,23.3049875731221,34.914068042505,8.33386753628526,5.89293424841773,46.523148511888,0,594.178454209743,520.182760446328,367.824757367936,1318.79322622458,0,0,0,0,0,0,28.2942121052258,40.0140584958714,28.2942121052258,84.0338099525207,114.874501147217,226.353696841807,80.0281169917427,56.5884242104517,337.832892536396,0.0161009742395694,0.0241242916010866,0.00575973818674175,0.0040727499297042,0.0321476089626039,0,0,0,0,0,0,0.0021007105553535,0.00297085335800123,0.0021007105553535,0.00623911034939988,0.00986186389016949,0.0220235810457332,0.00873059154474298,0.0061734604850577,0.0341852982012968
